iter	Passed	Remaining
0	144	143994
1	154	77125
2	164	54775
3	174	43335
4	183	36586
5	192	31925
6	201	28557
7	210	26074
8	220	24247
9	230	22862
10	240	21654
11	249	20580
12	257	19570
13	263	18542
14	268	17605
15	273	16810
16	278	16079
17	282	15432
18	287	14861
19	292	14336
20	297	13859
21	301	13405
22	305	12978
23	309	12593
24	313	12233
25	318	11914
26	322	11622
27	327	11351
28	330	11075
29	335	10845
30	339	10602
31	343	10398
32	347	10196
33	352	10015
34	356	9838
35	361	9677
36	366	9535
37	370	9380
38	375	9244
39	379	9096
40	383	8972
41	387	8844
42	392	8731
43	396	8618
44	401	8515
45	405	8419
46	410	8324
47	415	8231
48	419	8142
49	424	8059
50	429	7993
51	434	7914
52	438	7841
53	443	7773
54	448	7703
55	453	7644
56	457	7574
57	462	7519
58	468	7469
59	473	7413
60	478	7361
61	483	7314
62	487	7255
63	492	7207
64	497	7151
65	501	7101
66	506	7057
67	510	7003
68	515	6959
69	520	6916
70	525	6869
71	529	6819
72	533	6774
73	537	6731
74	542	6686
75	546	6640
76	550	6596
77	554	6555
78	558	6511
79	562	6470
80	566	6429
81	570	6388
82	574	6348
83	579	6316
84	583	6281
85	588	6251
86	592	6217
87	596	6185
88	601	6151
89	605	6122
90	609	6090
91	614	6063
92	618	6034
93	623	6008
94	628	5987
95	633	5961
96	637	5937
97	642	5910
98	646	5884
99	651	5859
100	655	5836
101	660	5815
102	664	5788
103	669	5767
104	673	5741
105	678	5719
106	682	5698
107	687	5674
108	692	5657
109	696	5637
110	702	5623
111	707	5605
112	711	5585
113	716	5566
114	720	5543
115	724	5522
116	729	5502
117	733	5482
118	737	5463
119	742	5444
120	746	5424
121	751	5405
122	755	5388
123	760	5372
124	765	5356
125	770	5341
126	774	5326
127	779	5310
128	784	5294
129	794	5318
130	799	5303
131	804	5289
132	809	5280
133	815	5268
134	820	5255
135	825	5241
136	829	5227
137	834	5212
138	839	5198
139	844	5186
140	848	5171
141	853	5159
142	858	5144
143	863	5132
144	868	5121
145	872	5106
146	878	5095
147	882	5081
148	887	5069
149	892	5059
150	897	5046
151	902	5034
152	907	5021
153	911	5010
154	917	5002
155	922	4989
156	927	4980
157	932	4970
158	937	4960
159	943	4951
160	948	4945
161	953	4934
162	958	4924
163	964	4914
164	968	4903
165	974	4894
166	978	4883
167	983	4872
168	989	4863
169	993	4852
170	998	4842
171	1003	4832
172	1008	4818
173	1012	4806
174	1016	4793
175	1020	4780
176	1024	4764
177	1028	4751
178	1032	4736
179	1036	4723
180	1040	4709
181	1044	4696
182	1049	4685
183	1054	4678
184	1059	4669
185	1064	4658
186	1068	4646
187	1072	4631
188	1077	4621
189	1080	4608
190	1085	4596
191	1088	4582
192	1093	4571
193	1096	4557
194	1101	4546
195	1104	4532
196	1109	4522
197	1113	4510
198	1117	4499
199	1121	4487
200	1126	4476
201	1130	4464
202	1134	4453
203	1138	4442
204	1142	4432
205	1147	4422
206	1151	4409
207	1155	4400
208	1160	4392
209	1165	4383
210	1169	4373
211	1174	4365
212	1179	4356
213	1183	4346
214	1188	4337
215	1192	4328
216	1197	4320
217	1201	4310
218	1206	4304
219	1211	4294
220	1215	4283
221	1219	4274
222	1223	4263
223	1227	4252
224	1231	4241
225	1235	4232
226	1239	4222
227	1244	4214
228	1248	4202
229	1252	4193
230	1256	4182
231	1261	4176
232	1265	4167
233	1269	4156
234	1273	4145
235	1278	4137
236	1282	4128
237	1287	4120
238	1291	4112
239	1296	4104
240	1300	4097
241	1305	4088
242	1309	4079
243	1313	4070
244	1318	4062
245	1322	4054
246	1326	4044
247	1331	4038
248	1335	4028
249	1340	4021
250	1344	4011
251	1348	4004
252	1353	3995
253	1357	3987
254	1362	3979
255	1366	3971
256	1371	3964
257	1375	3956
258	1380	3949
259	1384	3941
260	1389	3933
261	1393	3925
262	1398	3920
263	1403	3913
264	1408	3906
265	1413	3900
266	1418	3893
267	1423	3888
268	1428	3882
269	1433	3875
270	1438	3869
271	1443	3863
272	1448	3857
273	1453	3850
274	1457	3842
275	1461	3834
276	1466	3827
277	1470	3819
278	1474	3811
279	1479	3804
280	1484	3797
281	1488	3788
282	1492	3781
283	1496	3772
284	1500	3764
285	1504	3755
286	1509	3749
287	1513	3742
288	1518	3735
289	1522	3727
290	1526	3719
291	1531	3712
292	1535	3704
293	1539	3697
294	1543	3689
295	1548	3682
296	1552	3674
297	1556	3667
298	1560	3659
299	1565	3651
300	1569	3644
301	1573	3636
302	1577	3629
303	1582	3622
304	1586	3614
305	1590	3606
306	1594	3600
307	1598	3591
308	1603	3585
309	1607	3577
310	1611	3570
311	1616	3563
312	1620	3557
313	1625	3551
314	1630	3545
315	1635	3541
316	1640	3535
317	1645	3528
318	1649	3522
319	1654	3515
320	1659	3510
321	1663	3502
322	1667	3495
323	1672	3489
324	1677	3483
325	1681	3476
326	1685	3469
327	1689	3462
328	1693	3454
329	1698	3447
330	1702	3440
331	1706	3433
332	1710	3426
333	1714	3419
334	1719	3413
335	1725	3410
336	1731	3405
337	1736	3400
338	1742	3398
339	1748	3394
340	1754	3391
341	1760	3386
342	1765	3382
343	1771	3377
344	1777	3373
345	1782	3369
346	1788	3364
347	1793	3359
348	1798	3354
349	1803	3350
350	1808	3344
351	1813	3338
352	1818	3333
353	1823	3328
354	1828	3323
355	1833	3317
356	1838	3311
357	1843	3306
358	1848	3300
359	1853	3295
360	1858	3289
361	1863	3284
362	1869	3280
363	1874	3275
364	1879	3270
365	1885	3265
366	1890	3260
367	1895	3255
368	1900	3250
369	1905	3245
370	1910	3239
371	1915	3234
372	1920	3228
373	1925	3222
374	1930	3217
375	1934	3210
376	1939	3205
377	1944	3199
378	1949	3194
379	1955	3189
380	1959	3183
381	1964	3178
382	1969	3172
383	1973	3165
384	1978	3160
385	1982	3153
386	1986	3147
387	1990	3140
388	1996	3135
389	2000	3129
390	2005	3123
391	2010	3117
392	2014	3111
393	2019	3106
394	2024	3100
395	2029	3094
396	2033	3088
397	2038	3082
398	2042	3077
399	2047	3070
400	2051	3064
401	2055	3058
402	2060	3052
403	2064	3044
